id,itemnumber,text,reverse,scale,mbea,mbep,cr,ac,is,ic
mbea1,1,,1,mbea,1,0,0,0,0,0
mbea2,2,,1,mbea,1,0,0,0,0,0
mbea3,3,,1,mbea,1,0,0,0,0,0
mbep1,4,,1,mbep,0,1,0,0,0,0
mbep2,5,,1,mbep,0,1,0,0,0,0
mbep3,6,,1,mbep,0,1,0,0,0,0
cr1,7,,1,cr,0,0,1,0,0,0
cr2,8,,1,cr,0,0,1,0,0,0
cr3,9,,1,cr,0,0,1,0,0,0
ac1,10,,1,ac,0,0,0,1,0,0
ac2,11,,1,ac,0,0,0,1,0,0
ac3,12,,1,ac,0,0,0,1,0,0
is1,13,,1,is,0,0,0,0,1,0
is2,14,,1,is,0,0,0,0,1,0
is3,15,,1,is,0,0,0,0,1,0
ic1,16,,1,ic,0,0,0,0,0,1
ic2,17,,1,ic,0,0,0,0,0,1
ic3,18,,1,ic,0,0,0,0,0,1
